skupina,udaj,odkaz_na_original,navrh_verdiktu,potvrzeno
subjekt po přeměně (kotva/OR),dodavatel IČO 00539422 (právnická osoba),https://ares.gov.cz/ekonomicke-subjekty?ico=00539422,ostatní skutečnosti v OR uvádějí přeměnu -> indikátor nový subjekt ho nehodnotí (D-050),
subjekt po přeměně (kotva/OR),dodavatel IČO 00543535 (právnická osoba),https://ares.gov.cz/ekonomicke-subjekty?ico=00543535,ostatní skutečnosti v OR uvádějí přeměnu -> indikátor nový subjekt ho nehodnotí (D-050),
subjekt po přeměně (kotva/OR),dodavatel IČO 00558010 (právnická osoba),https://ares.gov.cz/ekonomicke-subjekty?ico=00558010,ostatní skutečnosti v OR uvádějí přeměnu -> indikátor nový subjekt ho nehodnotí (D-050),
fyzická osoba nebo strana bez IČO,"dotaceeu_2127 CZ.01.01.01/02/22_003/0000165#1.0: vynechána pole PSČ příjemce, Příjemce - název",https://www.dotaceeu.cz/getmedia/36db6e93-3a73-48a4-8d6f-adc32d034152/2026_09_Seznam-operaci_List-of-Operations_21.xlsx.aspx?ext=.xlsx,osobní údaje neuloženy (hash z původního záznamu); samostatný profil nevzniká (pravidlo 4),
fyzická osoba nebo strana bez IČO,"dotaceeu_2127 CZ.01.01.01/02/22_003/0000260#1.0: vynechána pole PSČ příjemce, Příjemce - název",https://www.dotaceeu.cz/getmedia/36db6e93-3a73-48a4-8d6f-adc32d034152/2026_09_Seznam-operaci_List-of-Operations_21.xlsx.aspx?ext=.xlsx,osobní údaje neuloženy (hash z původního záznamu); samostatný profil nevzniká (pravidlo 4),
fyzická osoba nebo strana bez IČO,"dotaceeu_2127 CZ.01.01.01/05/22_004/0000079#1.0: vynechána pole PSČ příjemce, Příjemce - název",https://www.dotaceeu.cz/getmedia/36db6e93-3a73-48a4-8d6f-adc32d034152/2026_09_Seznam-operaci_List-of-Operations_21.xlsx.aspx?ext=.xlsx,osobní údaje neuloženy (hash z původního záznamu); samostatný profil nevzniká (pravidlo 4),
fyzická osoba nebo strana bez IČO,"dotaceeu_2127 CZ.01.01.01/05/22_004/0000081#1.0: vynechána pole PSČ příjemce, Příjemce - název",https://www.dotaceeu.cz/getmedia/36db6e93-3a73-48a4-8d6f-adc32d034152/2026_09_Seznam-operaci_List-of-Operations_21.xlsx.aspx?ext=.xlsx,osobní údaje neuloženy (hash z původního záznamu); samostatný profil nevzniká (pravidlo 4),
fyzická osoba nebo strana bez IČO,"dotaceeu_2127 CZ.01.01.01/05/22_004/0000107#1.0: vynechána pole PSČ příjemce, Příjemce - název",https://www.dotaceeu.cz/getmedia/36db6e93-3a73-48a4-8d6f-adc32d034152/2026_09_Seznam-operaci_List-of-Operations_21.xlsx.aspx?ext=.xlsx,osobní údaje neuloženy (hash z původního záznamu); samostatný profil nevzniká (pravidlo 4),
párování smlouva–zakázka: doložená shoda,–,–,"čeká na zdroj (registr smluv; D-045, D-049)",
párování smlouva–zakázka: pravděpodobná shoda,–,–,"čeká na zdroj (registr smluv; váhy a práh neověřeny, D-049)",
dělení pod limit,–,–,čeká na zdroj (registr smluv; D-050),
smlouva v cizí měně / bez uvedené ceny (RS),–,–,čeká na zdroj (registr smluv),
neplatná (nahrazená) verze záznamu RS,–,–,čeká na zdroj (registr smluv),
